Passing Yards,62.07%
RB Rush Yards,64.06%
WR Rec Yds,51.19%
WR Receptions, 44.44%
TE Rec Yds,50.00%
TE Receptions,57.45%
Moneyline Hit Rate,63.95%
Spread Hit Rate,60.00%




